"","cell","meth","Proportion","Sample"
"1","B cells","FARDEEP",0.86231243191789,"B1"
"2","B cells","FARDEEP",0.944762002726736,"B3"
"3","B cells","FARDEEP",0.94578769893019,"B4"
"4","B cells","FARDEEP",0.694752466187361,"B5"
"5","B cells","FARDEEP",0.93823287764964,"B6"
"6","B cells","FARDEEP",0,"T1"
"7","B cells","FARDEEP",0,"T3"
"8","B cells","FARDEEP",0,"T4"
"9","B cells","FARDEEP",0,"T5"
"10","B cells","FARDEEP",0,"T6"
"11","T cells","FARDEEP",0,"B1"
"12","T cells","FARDEEP",0,"B3"
"13","T cells","FARDEEP",0.00151405289929181,"B4"
"14","T cells","FARDEEP",0,"B5"
"15","T cells","FARDEEP",0,"B6"
"16","T cells","FARDEEP",0.990128083238003,"T1"
"17","T cells","FARDEEP",0.969638494804784,"T3"
"18","T cells","FARDEEP",0.979542540581118,"T4"
"19","T cells","FARDEEP",0.92111090981896,"T5"
"20","T cells","FARDEEP",0.966828474903053,"T6"
"21","Other","FARDEEP",0.13768756808211,"B1"
"22","Other","FARDEEP",0.0552379972732643,"B3"
"23","Other","FARDEEP",0.052698248170518,"B4"
"24","Other","FARDEEP",0.305247533812639,"B5"
"25","Other","FARDEEP",0.0617671223503598,"B6"
"26","Other","FARDEEP",0.00987191676199673,"T1"
"27","Other","FARDEEP",0.0303615051952156,"T3"
"28","Other","FARDEEP",0.0204574594188819,"T4"
"29","Other","FARDEEP",0.0788890901810397,"T5"
"30","Other","FARDEEP",0.0331715250969473,"T6"
"31","B cells","CIBERSORT",0.652453144281138,"B1"
"32","B cells","CIBERSORT",0.76950777553601,"B3"
"33","B cells","CIBERSORT",0.76868043248286,"B4"
"34","B cells","CIBERSORT",0.55241751918617,"B5"
"35","B cells","CIBERSORT",0.84887859214885,"B6"
"36","B cells","CIBERSORT",0.0082792763210056,"T1"
"37","B cells","CIBERSORT",0.0078715831435544,"T3"
"38","B cells","CIBERSORT",0.011665849372713,"T4"
"39","B cells","CIBERSORT",0.0026462384472724,"T5"
"40","B cells","CIBERSORT",0.0082210812535612,"T6"
"41","T cells","CIBERSORT",0.05359017024015,"B1"
"42","T cells","CIBERSORT",0.077932164161532,"B3"
"43","T cells","CIBERSORT",0.0424566590187154,"B4"
"44","T cells","CIBERSORT",0.053182682318446,"B5"
"45","T cells","CIBERSORT",0.067906112595811,"B6"
"46","T cells","CIBERSORT",0.935850258121541,"T1"
"47","T cells","CIBERSORT",0.915220679343153,"T3"
"48","T cells","CIBERSORT",0.963271916493137,"T4"
"49","T cells","CIBERSORT",0.920207461690632,"T5"
"50","T cells","CIBERSORT",0.938637686173297,"T6"
"51","Other","CIBERSORT",0.293956685478701,"B1"
"52","Other","CIBERSORT",0.152560060302459,"B3"
"53","Other","CIBERSORT",0.188862908498423,"B4"
"54","Other","CIBERSORT",0.394399798495381,"B5"
"55","Other","CIBERSORT",0.0832201952787722,"B6"
"56","Other","CIBERSORT",0.0558353242995006,"T1"
"57","Other","CIBERSORT",0.0769077375132974,"T3"
"58","Other","CIBERSORT",0.0250870991172732,"T4"
"59","Other","CIBERSORT",0.0771770227044019,"T5"
"60","Other","CIBERSORT",0.0531164973536168,"T6"
